IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.106.156,2083,TRUE,SIN,Asia Pacific,Singapore,230 ms,5171 kB/s
47.236.254.120,2096,TRUE,SIN,Asia Pacific,Singapore,238 ms,5131 kB/s
8.222.219.34,2096,TRUE,SIN,Asia Pacific,Singapore,223 ms,5026 kB/s
47.236.104.98,2087,TRUE,SIN,Asia Pacific,Singapore,216 ms,5000 kB/s
47.236.168.17,2096,TRUE,SIN,Asia Pacific,Singapore,232 ms,4983 kB/s
47.236.174.206,2053,TRUE,SIN,Asia Pacific,Singapore,255 ms,4981 kB/s
47.236.158.158,2096,TRUE,SIN,Asia Pacific,Singapore,244 ms,4976 kB/s
47.236.144.156,2053,TRUE,SIN,Asia Pacific,Singapore,220 ms,4870 kB/s
8.222.254.91,2053,TRUE,SIN,Asia Pacific,Singapore,216 ms,4833 kB/s
47.236.83.239,8443,TRUE,SIN,Asia Pacific,Singapore,220 ms,4766 kB/s
47.236.121.7,2087,TRUE,SIN,Asia Pacific,Singapore,215 ms,4763 kB/s
47.236.144.196,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,4757 kB/s
47.236.104.98,2096,TRUE,SIN,Asia Pacific,Singapore,242 ms,4743 kB/s
47.236.144.156,2083,TRUE,SIN,Asia Pacific,Singapore,229 ms,4741 kB/s
47.236.116.26,2053,TRUE,SIN,Asia Pacific,Singapore,243 ms,4719 kB/s
47.236.121.7,2053,TRUE,SIN,Asia Pacific,Singapore,214 ms,4712 kB/s
47.236.144.196,2053,TRUE,SIN,Asia Pacific,Singapore,235 ms,4683 kB/s
47.236.169.141,8443,TRUE,SIN,Asia Pacific,Singapore,237 ms,4675 kB/s
47.236.172.95,8443,TRUE,SIN,Asia Pacific,Singapore,241 ms,4667 kB/s
47.236.104.98,443,TRUE,SIN,Asia Pacific,Singapore,261 ms,4662 kB/s
47.236.180.51,2087,TRUE,SIN,Asia Pacific,Singapore,220 ms,4651 kB/s
47.236.75.113,2083,TRUE,SIN,Asia Pacific,Singapore,212 ms,4640 kB/s
8.222.219.34,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,4638 kB/s
47.236.149.107,2087,TRUE,SIN,Asia Pacific,Singapore,220 ms,4575 kB/s
47.236.121.7,8443,TRUE,SIN,Asia Pacific,Singapore,215 ms,4552 kB/s
8.222.219.34,2083,TRUE,SIN,Asia Pacific,Singapore,213 ms,4496 kB/s
8.219.245.187,2087,TRUE,SIN,Asia Pacific,Singapore,221 ms,4490 kB/s
47.236.75.113,2096,TRUE,SIN,Asia Pacific,Singapore,239 ms,4463 kB/s
47.236.172.71,2096,TRUE,SIN,Asia Pacific,Singapore,230 ms,4439 kB/s
47.236.149.107,2083,TRUE,SIN,Asia Pacific,Singapore,225 ms,4433 kB/s
47.236.10.100,8443,TRUE,SIN,Asia Pacific,Singapore,249 ms,4428 kB/s
47.236.168.17,2087,TRUE,SIN,Asia Pacific,Singapore,231 ms,4412 kB/s
47.236.117.48,2083,TRUE,SIN,Asia Pacific,Singapore,246 ms,4398 kB/s
47.236.166.131,8443,TRUE,SIN,Asia Pacific,Singapore,227 ms,4373 kB/s
47.236.123.133,2096,TRUE,SIN,Asia Pacific,Singapore,219 ms,4342 kB/s
47.236.166.131,2053,TRUE,SIN,Asia Pacific,Singapore,215 ms,4331 kB/s
47.236.123.133,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,4303 kB/s
47.236.169.141,2087,TRUE,SIN,Asia Pacific,Singapore,220 ms,4303 kB/s
47.236.121.7,2096,TRUE,SIN,Asia Pacific,Singapore,221 ms,4300 kB/s
47.236.123.133,2053,TRUE,SIN,Asia Pacific,Singapore,213 ms,4283 kB/s
47.236.104.11,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,4270 kB/s
8.222.254.91,2083,TRUE,SIN,Asia Pacific,Singapore,246 ms,4261 kB/s
47.236.5.223,2083,TRUE,SIN,Asia Pacific,Singapore,249 ms,4216 kB/s
47.236.150.13,2083,TRUE,SIN,Asia Pacific,Singapore,241 ms,4207 kB/s
47.236.104.11,2087,TRUE,SIN,Asia Pacific,Singapore,242 ms,4196 kB/s
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,4195 kB/s
47.236.202.91,2053,TRUE,SIN,Asia Pacific,Singapore,253 ms,4192 kB/s
47.236.11.84,443,TRUE,SIN,Asia Pacific,Singapore,234 ms,4188 kB/s
47.236.144.208,2096,TRUE,SIN,Asia Pacific,Singapore,221 ms,4156 kB/s
47.236.93.176,2053,TRUE,SIN,Asia Pacific,Singapore,245 ms,4143 kB/s
47.236.116.26,443,TRUE,SIN,Asia Pacific,Singapore,250 ms,4117 kB/s
47.236.10.100,2083,TRUE,SIN,Asia Pacific,Singapore,265 ms,4066 kB/s
47.236.169.164,2083,TRUE,SIN,Asia Pacific,Singapore,233 ms,4061 kB/s
47.236.104.11,2096,TRUE,SIN,Asia Pacific,Singapore,218 ms,4034 kB/s
8.219.101.138,8443,TRUE,SIN,Asia Pacific,Singapore,258 ms,4026 kB/s
47.236.167.231,2083,TRUE,SIN,Asia Pacific,Singapore,236 ms,4021 kB/s
47.236.169.15,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,3989 kB/s
47.236.253.41,2096,TRUE,SIN,Asia Pacific,Singapore,237 ms,3980 kB/s
47.236.117.48,2096,TRUE,SIN,Asia Pacific,Singapore,226 ms,3968 kB/s
47.236.11.84,2087,TRUE,SIN,Asia Pacific,Singapore,257 ms,3945 kB/s
47.236.169.164,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,3904 kB/s
47.236.144.208,8443,TRUE,SIN,Asia Pacific,Singapore,221 ms,3899 kB/s
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,228 ms,3890 kB/s
47.236.10.100,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,3877 kB/s
47.236.87.246,2087,TRUE,SIN,Asia Pacific,Singapore,229 ms,3803 kB/s
47.236.202.91,2087,TRUE,SIN,Asia Pacific,Singapore,250 ms,3801 kB/s
8.219.101.138,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,3801 kB/s
47.236.254.120,8443,TRUE,SIN,Asia Pacific,Singapore,232 ms,3764 kB/s
47.236.7.106,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,3744 kB/s
47.236.83.239,2096,TRUE,SIN,Asia Pacific,Singapore,219 ms,3744 kB/s
47.236.117.48,2087,TRUE,SIN,Asia Pacific,Singapore,220 ms,3717 kB/s
47.236.10.182,2053,TRUE,SIN,Asia Pacific,Singapore,244 ms,3711 kB/s
8.219.67.133,2083,TRUE,SIN,Asia Pacific,Singapore,230 ms,3676 kB/s
8.219.106.156,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,3673 kB/s
47.236.168.17,2083,TRUE,SIN,Asia Pacific,Singapore,239 ms,3653 kB/s
47.236.172.95,2087,TRUE,SIN,Asia Pacific,Singapore,264 ms,3617 kB/s
8.219.67.133,2096,TRUE,SIN,Asia Pacific,Singapore,213 ms,3616 kB/s
47.236.180.51,2083,TRUE,SIN,Asia Pacific,Singapore,236 ms,3545 kB/s
47.236.253.41,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,3527 kB/s
47.236.172.95,2083,TRUE,SIN,Asia Pacific,Singapore,255 ms,3522 kB/s
47.236.11.84,2083,TRUE,SIN,Asia Pacific,Singapore,241 ms,3501 kB/s
47.236.169.15,2096,TRUE,SIN,Asia Pacific,Singapore,248 ms,3493 kB/s
47.236.254.120,2053,TRUE,SIN,Asia Pacific,Singapore,222 ms,3488 kB/s
47.236.169.164,2096,TRUE,SIN,Asia Pacific,Singapore,242 ms,3487 kB/s
